Time,GPS_X,GPS_Y,Est_X,Est_Y,Theta
13.76,-0.0100798,-0.972436,0.0249836,-0.969461,-1.59478
13.824,-0.0751865,-0.91048,0.0229606,-0.969101,-1.59478
13.888,-0.128764,-0.967272,0.0199064,-0.969884,-1.59478
13.952,-0.040844,-0.948189,0.0186733,-0.970207,-1.59478
14.016,-0.035572,-0.907717,0.0175672,-0.96984,-1.59478
14.08,-0.0127655,-0.868114,0.0169424,-0.968563,-1.59478
14.144,0.00452911,-0.893187,0.0166744,-0.967875,-1.59478
14.208,0.0510877,-0.905439,0.017343,-0.967446,-1.59478
14.272,-0.114075,-0.886662,0.0146965,-0.966587,-1.59478
14.336,0.0890878,-0.95373,0.0161632,-0.967213,-1.59478
14.4,-0.0118417,-0.987793,0.0155849,-0.968381,-1.59478
14.464,-0.129993,-0.930764,0.0126537,-0.968449,-1.59478
14.528,-0.0371919,-0.898581,0.0116371,-0.967871,-1.59478
14.592,-0.0777763,-0.979115,0.00983067,-0.968853,-1.59478
14.656,0.0531089,-0.906817,0.0106751,-0.968495,-1.59478
14.72,0.0302246,-0.996475,0.0110479,-0.969811,-1.59478
14.784,-0.0405235,-0.973748,0.0099968,-0.97071,-1.59478
14.848,0.0163841,-0.95003,0.0101049,-0.971116,-1.59478
14.912,0.0203542,-0.945403,0.0102917,-0.971359,-1.59478
14.976,0.0225941,-0.920227,0.0105166,-0.971219,-1.59478
15.04,0.0128676,-0.897209,0.0105454,-0.970496,-1.59478
15.104,-0.0526886,-0.937033,0.00926109,-0.970646,-1.59478
15.168,-0.0272887,-1.0101,0.00851043,-0.972255,-1.59478
15.232,-0.00702701,-1.02641,0.00818153,-0.974095,-1.59478
15.296,-0.0728867,-0.926307,0.00653898,-0.974022,-1.59478
15.36,0.0386007,-1.05301,0.00716206,-0.976359,-1.59478
15.424,-0.0237385,-0.917656,0.00652438,-0.976005,-1.59478
15.488,-0.0477332,-1.03099,0.00541956,-0.977924,-1.59478
15.552,-0.0543876,-0.810135,0.00420526,-0.975325,-1.59478
15.616,-0.0670723,-1.01607,0.00275853,-0.977023,-1.59478
15.68,0.00196042,-0.973068,0.00272441,-0.9777,-1.59478
15.744,-0.0210344,-0.974271,0.00222957,-0.978452,-1.59478
15.808,0.125531,-0.926097,0.00467594,-0.978224,-1.59478
15.872,0.0136726,-1.02273,0.00483772,-0.979871,-1.59478
15.936,-0.0969272,-0.959306,0.00278124,-0.980343,-1.59478
16,-0.0925487,-0.866425,0.000856485,-0.978821,-1.59478
16.064,-0.179936,-0.971418,-0.00277904,-0.979493,-1.59478
16.128,-0.12372,-0.967807,-0.00521752,-0.980079,-1.59478
16.192,-0.0690201,-1.03546,-0.00651172,-0.981943,-1.59478
16.256,-0.0514846,-0.909838,-0.00743236,-0.981384,-1.59478
16.32,-0.00123534,-0.92967,-0.00732658,-0.981107,-1.59478
16.384,0.0615294,-1.0001,-0.00596913,-0.982306,-1.59478
16.448,-0.0482962,-0.978193,-0.00683534,-0.983044,-1.59478
16.512,-0.0549056,-0.890755,-0.0078149,-0.981955,-1.59478
16.576,0.0158094,-0.966592,-0.00736359,-0.982531,-1.59478
16.64,-0.125843,-0.923724,-0.00975133,-0.982111,-1.59478
16.704,-0.0911541,-0.977671,-0.0113991,-0.982842,-1.59478
16.768,-0.0796037,-0.881192,-0.0127828,-0.981629,-1.59478
16.832,-0.0486431,-0.938802,-0.0135182,-0.981529,-1.59478
16.896,-0.00326048,-0.902335,-0.0133342,-0.980828,-1.59478
16.96,-0.0616026,-0.98016,-0.0143177,-0.981572,-1.59478
17.024,-0.0587336,-0.926713,-0.0152257,-0.981295,-1.59478
17.088,0.0259991,-0.929143,-0.0144209,-0.981071,-1.59478
17.152,-0.109086,-0.87127,-0.0163323,-0.979632,-1.59478
17.216,-0.0113078,-0.990082,-0.016253,-0.980724,-1.59478
17.28,-0.0916148,-0.835681,-0.0177784,-0.97858,-1.59478
17.344,0.00641696,-0.86379,-0.0173142,-0.977104,-1.59478
17.408,-0.12248,-0.945595,-0.0194372,-0.977294,-1.59478
17.472,0.0139865,-0.965128,-0.0187868,-0.977807,-1.59478
17.536,-0.0300828,-0.931277,-0.0190339,-0.977759,-1.59478
17.6,-0.127352,-1.02857,-0.0212185,-0.979532,-1.59478
17.664,-0.0769399,-0.928993,-0.0223526,-0.979341,-1.59478
17.728,0.0138632,-0.988253,-0.0216479,-0.980339,-1.59478
17.792,0.00279723,-0.952315,-0.0211772,-0.980536,-1.59478
17.856,-0.0236241,-0.965445,-0.0212473,-0.981117,-1.59478
17.92,-0.0302166,-1.05058,-0.0214448,-0.983263,-1.59478
17.984,0.0134305,-0.92016,-0.020767,-0.982821,-1.59478
18.048,-0.0348304,-0.965411,-0.0210679,-0.983292,-1.59478
18.112,-0.171139,-0.912388,-0.0240875,-0.982631,-1.59478
18.176,-0.071534,-0.875711,-0.0250576,-0.981375,-1.59478
18.24,-0.109597,-0.979279,-0.0267666,-0.98209,-1.59478
18.304,-0.0527185,-0.876719,-0.0273053,-0.980803,-1.59478
18.368,-0.0725602,-0.964683,-0.02823,-0.9813,-1.59478
18.432,-0.100702,-0.938576,-0.0296976,-0.981202,-1.59478
18.496,-0.0966964,-0.993726,-0.0310588,-0.982336,-1.59478
18.56,-0.0356584,-0.951503,-0.0311689,-0.982476,-1.59478
18.624,-0.128918,-0.993363,-0.0331436,-0.983513,-1.59478
18.688,-0.0750787,-0.914865,-0.0340019,-0.98296,-1.59478
18.752,-0.0261609,-0.99821,-0.0338633,-0.984022,-1.59478
18.816,-0.0573745,-0.984356,-0.0343547,-0.984912,-1.59478
18.88,-0.133227,-0.953381,-0.0363503,-0.985038,-1.59478
18.944,-0.140322,-0.973886,-0.0384494,-0.985635,-1.59478
19.008,0.0227512,-0.961077,-0.037245,-0.985963,-1.59478
19.072,-0.0781683,-0.92826,-0.0380817,-0.985566,-1.59478
19.136,-0.105533,-0.998928,-0.0394519,-0.986716,-1.59478
