Time,StepDist,GPS_X,GPS_Y,Odo_X,Odo_Y,Est_X,Est_Y,rk2_Est_X,rk2_Est_Y,Theta
2.032,0.00180236,-0.382855,-0.737542,-0.704688,-0.497526,-0.5015,-0.687153,-0.501507,-0.687152,1.42112
2.048,0.00180236,-0.464847,-0.722137,-0.704405,-0.495746,-0.500489,-0.686108,-0.500496,-0.686107,1.41301
2.064,0.00186673,-0.431257,-0.885933,-0.704098,-0.493904,-0.498804,-0.6883,-0.49881,-0.688299,1.40579
2.08,0.00180236,-0.354043,-0.744017,-0.703788,-0.492129,-0.495604,-0.687675,-0.495611,-0.687673,1.39768
2.096,0.00186673,-0.323602,-0.730472,-0.703453,-0.490292,-0.491836,-0.686731,-0.491843,-0.68673,1.39045
2.112,0.00180236,-0.382049,-0.641998,-0.703117,-0.488522,-0.489311,-0.684101,-0.489317,-0.6841,1.38322
2.128,0.00186673,-0.441862,-0.824025,-0.702755,-0.48669,-0.488008,-0.685105,-0.488015,-0.685103,1.37599
2.144,0.00186673,-0.422315,-0.712179,-0.702381,-0.484861,-0.486327,-0.683854,-0.486334,-0.683852,1.36877
2.16,0.00180236,-0.438249,-0.758458,-0.702005,-0.483099,-0.484997,-0.683618,-0.485004,-0.683617,1.36065
2.176,0.00180236,-0.372704,-0.683918,-0.701614,-0.481339,-0.482369,-0.6819,-0.482376,-0.681898,1.35254
2.192,0.00186673,-0.490806,-0.731723,-0.701195,-0.47952,-0.482127,-0.681114,-0.482134,-0.681112,1.34442
2.208,0.00180236,-0.345955,-0.749049,-0.700777,-0.477767,-0.478993,-0.680755,-0.479,-0.680753,1.33629
2.224,0.00186673,-0.335593,-0.836617,-0.70033,-0.475955,-0.475687,-0.682096,-0.475693,-0.682094,1.32905
2.24,0.00180236,-0.36297,-0.85658,-0.699884,-0.474208,-0.472996,-0.683874,-0.473003,-0.683872,1.32092
2.256,0.00180236,-0.394654,-0.720785,-0.699424,-0.472466,-0.470978,-0.682904,-0.470985,-0.682902,1.31279
2.272,0.00180236,-0.391594,-0.743504,-0.698949,-0.470727,-0.468925,-0.682412,-0.468932,-0.68241,1.30377
2.288,0.00180236,-0.377996,-0.827727,-0.698457,-0.468993,-0.466625,-0.683619,-0.466632,-0.683617,1.29476
2.304,0.00180236,-0.372779,-0.814261,-0.697952,-0.467263,-0.464253,-0.684537,-0.464259,-0.684535,1.28661
2.32,0.00180236,-0.480665,-0.844265,-0.697431,-0.465537,-0.46407,-0.68604,-0.464078,-0.686038,1.27759
2.336,0.00180236,-0.400309,-0.735688,-0.696895,-0.463817,-0.462269,-0.685347,-0.462277,-0.685345,1.26856
2.352,0.00186673,-0.371232,-0.773288,-0.696324,-0.462039,-0.45989,-0.685364,-0.459897,-0.685362,1.2604
2.368,0.00180236,-0.433713,-0.729514,-0.695761,-0.460327,-0.458815,-0.684569,-0.458821,-0.684567,1.25313
2.384,0.00186673,-0.326723,-0.771145,-0.695164,-0.458559,-0.455587,-0.684567,-0.455594,-0.684565,1.24497
2.4,0.00180236,-0.441965,-0.745978,-0.694573,-0.456856,-0.454736,-0.684127,-0.454742,-0.684124,1.23681
2.416,0.00180236,-0.423996,-0.570775,-0.693968,-0.455158,-0.453528,-0.680196,-0.453535,-0.680193,1.22865
2.432,0.00180236,-0.386291,-0.760499,-0.69335,-0.453465,-0.451577,-0.680143,-0.451584,-0.68014,1.22048
2.448,0.00180236,-0.476262,-0.797476,-0.692716,-0.451778,-0.45145,-0.680836,-0.451457,-0.680833,1.21143
2.464,0.00180236,-0.333074,-0.773297,-0.692067,-0.450096,-0.448446,-0.681037,-0.448454,-0.681035,1.20238
2.48,0.00180236,-0.390214,-0.775274,-0.691403,-0.448421,-0.446631,-0.68128,-0.446638,-0.681277,1.19332
2.496,0.00180236,-0.3093,-0.840606,-0.690723,-0.446751,-0.443218,-0.682831,-0.443225,-0.682828,1.18426
2.512,0.00180236,-0.29785,-0.686158,-0.690029,-0.445088,-0.43963,-0.681267,-0.439637,-0.681264,1.17519
2.528,0.00180236,-0.290612,-0.87018,-0.68932,-0.443431,-0.435956,-0.683421,-0.435962,-0.683419,1.167
2.544,0.00186673,-0.346062,-0.789624,-0.688574,-0.44172,-0.433427,-0.683868,-0.433433,-0.683866,1.15969
2.56,0.00180236,-0.378121,-0.78159,-0.687841,-0.440073,-0.431601,-0.68421,-0.431608,-0.684207,1.15149
2.576,0.00180236,-0.438824,-0.768575,-0.687092,-0.438434,-0.431012,-0.68429,-0.43102,-0.684287,1.14242
2.592,0.00180236,-0.389879,-0.744698,-0.686328,-0.436801,-0.429441,-0.683898,-0.429449,-0.683895,1.13334
2.608,0.00180236,-0.366614,-0.648908,-0.685551,-0.435175,-0.427423,-0.681605,-0.42743,-0.681602,1.12513
2.624,0.00186673,-0.442105,-0.767722,-0.684734,-0.433497,-0.426916,-0.681682,-0.426922,-0.681679,1.1178
2.64,0.00180236,-0.295751,-0.683171,-0.683932,-0.431883,-0.423507,-0.68013,-0.423513,-0.680127,1.10959
2.656,0.00180236,-0.273484,-0.857053,-0.683117,-0.430275,-0.419707,-0.682093,-0.419714,-0.68209,1.10138
2.672,0.00180236,-0.25681,-0.794235,-0.682287,-0.428675,-0.415636,-0.682768,-0.415643,-0.682765,1.09228
2.688,0.00180236,-0.420266,-0.789683,-0.681444,-0.427082,-0.414903,-0.683346,-0.414909,-0.683342,1.08406
2.704,0.00186673,-0.342474,-0.784685,-0.680557,-0.425439,-0.412585,-0.683762,-0.412592,-0.683759,1.07583
2.72,0.00180236,-0.354403,-0.760308,-0.679688,-0.423861,-0.41057,-0.683746,-0.410576,-0.683743,1.0676
2.736,0.00180236,-0.439728,-0.852122,-0.678806,-0.422289,-0.410288,-0.685573,-0.410295,-0.68557,1.05936
2.752,0.00180236,-0.312633,-0.710126,-0.677911,-0.420724,-0.407458,-0.684531,-0.407464,-0.684528,1.05112
2.768,0.00186673,-0.313124,-0.738624,-0.676971,-0.419112,-0.40465,-0.684033,-0.404656,-0.684029,1.04288
2.784,0.00180236,-0.295234,-0.74353,-0.67605,-0.417562,-0.401559,-0.683704,-0.401566,-0.6837,1.03463
2.8,0.00180236,-0.35269,-0.836334,-0.675117,-0.416021,-0.399667,-0.685246,-0.399673,-0.685242,1.02639
2.816,0.00186673,-0.303739,-0.694776,-0.674138,-0.414431,-0.39679,-0.683879,-0.396795,-0.683875,1.01902
2.832,0.00180236,-0.282264,-0.723708,-0.673181,-0.412904,-0.393561,-0.683179,-0.393567,-0.683175,1.01076
2.848,0.00186673,-0.338619,-0.734814,-0.672177,-0.41133,-0.391479,-0.682669,-0.391484,-0.682665,1.00339
2.864,0.00180236,-0.339634,-0.62068,-0.671197,-0.409817,-0.389482,-0.679946,-0.389487,-0.679943,0.996012
2.88,0.00186673,-0.34669,-0.706115,-0.670172,-0.408257,-0.387621,-0.678941,-0.387626,-0.678938,0.989521
2.896,0.0019311,-0.362372,-0.791852,-0.669102,-0.40665,-0.386067,-0.679624,-0.386072,-0.679621,0.983027
2.912,0.00186673,-0.330898,-0.753213,-0.668056,-0.405103,-0.383939,-0.67958,-0.383944,-0.679577,0.976532
2.928,0.00180236,-0.250968,-0.725316,-0.667036,-0.403617,-0.38028,-0.679039,-0.380285,-0.679035,0.969147
2.944,0.00180236,-0.310263,-0.691916,-0.666004,-0.40214,-0.377868,-0.677848,-0.377874,-0.677844,0.960877
2.96,0.00186673,-0.378794,-0.731015,-0.664922,-0.400619,-0.376826,-0.677421,-0.376832,-0.677417,0.952602
2.976,0.00180236,-0.282223,-0.831811,-0.663867,-0.399157,-0.3739,-0.679077,-0.373905,-0.679073,0.945206
2.992,0.00186673,-0.372167,-0.626832,-0.662764,-0.397651,-0.372784,-0.676556,-0.372789,-0.676553,0.93869
3.008,0.0019311,-0.29934,-0.766878,-0.661614,-0.3961,-0.370189,-0.676842,-0.370193,-0.676839,0.933062
3.024,0.00186673,-0.290933,-0.686155,-0.660494,-0.394606,-0.367506,-0.675565,-0.36751,-0.675562,0.927433
